iter	RMSE
0	14.60880742
1	14.36195736
2	14.13380844
3	13.90340048
4	13.70054592
5	13.48970403
6	13.29088793
7	13.10358941
8	12.90891921
9	12.6802398
10	12.48912745
11	12.30985334
12	12.12928635
13	11.96061111
14	11.75876152
15	11.59752232
16	11.44107477
17	11.30160139
18	11.12038919
19	10.95552734
20	10.81066122
21	10.66923999
22	10.51144053
23	10.3621941
24	10.22534815
25	10.07340472
26	9.928819974
27	9.785757498
28	9.663478437
29	9.538260228
30	9.436059984
31	9.311159123
32	9.193058815
33	9.082303855
34	8.970353694
35	8.863953383
36	8.749574178
37	8.667320459
38	8.56183612
39	8.471781616
40	8.372674083
41	8.2960454
42	8.200694397
43	8.112584968
44	8.020639735
45	7.946964536
46	7.865465315
47	7.779883681
48	7.701984345
49	7.625710483
50	7.557968633
51	7.479789947
52	7.404842663
53	7.335501598
54	7.25954427
55	7.18998022
56	7.123009858
57	7.054279536
58	7.001615038
59	6.9367375
60	6.875151108
61	6.811598474
62	6.765804497
63	6.702895171
64	6.640543971
65	6.586912919
66	6.536110698
67	6.496654752
68	6.448179211
69	6.405769133
70	6.357372332
71	6.308079613
72	6.252994342
73	6.202931374
74	6.159236487
75	6.116520328
76	6.076346855
77	6.035779637
78	5.997855698
79	5.960481448
80	5.925397342
81	5.896323157
82	5.859472319
83	5.822988181
84	5.783324292
85	5.747654525
86	5.709724776
87	5.673834065
88	5.639886564
89	5.610169382
90	5.576315764
91	5.544642653
92	5.514725072
93	5.490809879
94	5.477456551
95	5.449069013
96	5.420025484
97	5.394213867
98	5.367437848
99	5.341000779
100	5.318897529
101	5.298912516
102	5.275298937
103	5.252030071
104	5.22898011
105	5.205281029
106	5.184024409
107	5.160831179
108	5.140856875
109	5.119960412
110	5.095560566
111	5.076666039
112	5.060883087
113	5.040299192
114	5.019091283
115	4.999306778
116	4.986677941
117	4.967438809
118	4.955180336
119	4.925558649
120	4.905119013
121	4.891310998
122	4.872031202
123	4.85189995
124	4.834353377
125	4.816169401
126	4.805359981
127	4.788433594
128	4.774687671
129	4.760978558
130	4.750959465
131	4.739333829
132	4.72668774
133	4.70817386
134	4.6893223
135	4.677117523
136	4.664157075
137	4.651078448
138	4.631538107
139	4.617718943
140	4.607488797
141	4.593826125
142	4.580945604
143	4.571183823
144	4.557747142
145	4.545298882
146	4.530994493
147	4.521349119
148	4.511252088
149	4.505298308
150	4.499146279
151	4.481670707
152	4.468393002
153	4.453130486
154	4.446890713
155	4.428104554
156	4.414139945
157	4.401979067
158	4.394200443
159	4.38252675
160	4.375313147
161	4.361651281
162	4.344824833
163	4.327510754
164	4.31858932
165	4.307198242
166	4.29780566
167	4.284731264
168	4.268837039
169	4.254591431
170	4.247386828
171	4.236808564
172	4.227050259
173	4.217061944
174	4.206703059
175	4.197517316
176	4.19263171
177	4.185683
178	4.176437342
179	4.168088072
180	4.156272398
181	4.138680864
182	4.135748574
183	4.124115433
184	4.115903455
185	4.108803908
186	4.102558899
187	4.096533474
188	4.082682557
189	4.070537571
190	4.063789438
191	4.04893446
192	4.039194872
193	4.032285227
194	4.025559267
195	4.015512884
196	4.007359943
197	4.002086955
198	3.990114445
199	3.977066121
200	3.976108683
201	3.965174565
202	3.954312594
203	3.946708556
204	3.933974651
205	3.931248899
206	3.924209357
207	3.919894896
208	3.916530408
209	3.909622623
210	3.901116772
211	3.892753506
212	3.88042572
213	3.869713972
214	3.854893151
215	3.847510859
216	3.837655091
217	3.831707578
218	3.82373261
219	3.818276886
220	3.814493485
221	3.80842618
