iter	Passed	Remaining
0	59	59038
1	59	29648
2	59	19835
3	59	14939
4	60	12013
5	60	10048
6	61	8653
7	61	7620
8	61	6799
9	62	6165
10	62	5632
11	62	5186
12	63	4808
13	63	4488
14	64	4211
15	64	3966
16	64	3756
17	65	3558
18	65	3385
19	65	3225
20	66	3081
21	66	2955
22	67	2864
23	67	2756
24	68	2654
25	68	2563
26	68	2476
27	68	2395
28	69	2317
29	69	2246
30	69	2181
31	70	2118
32	70	2059
33	70	2005
34	70	1954
35	71	1905
36	71	1858
37	71	1813
38	71	1771
39	72	1732
40	72	1694
41	72	1657
42	72	1621
43	73	1588
44	73	1556
45	73	1526
46	73	1497
47	74	1471
48	74	1444
49	74	1419
50	75	1395
51	75	1374
52	75	1354
53	76	1332
54	76	1313
55	76	1293
56	77	1275
57	77	1256
58	77	1240
59	78	1223
60	78	1207
61	78	1192
62	79	1176
63	79	1160
64	79	1146
65	80	1134
66	80	1120
67	80	1108
68	81	1095
69	81	1081
70	81	1068
71	81	1055
72	82	1043
73	82	1032
74	82	1021
75	83	1010
76	83	1000
77	83	990
78	84	980
79	84	971
80	84	959
81	84	949
82	85	940
83	85	930
84	85	921
85	85	912
86	86	904
87	86	895
88	86	887
89	86	879
90	87	872
91	87	865
92	87	857
93	88	849
94	88	840
95	88	833
96	88	827
97	89	820
98	89	814
99	89	807
100	89	801
101	90	793
102	90	787
103	90	781
104	90	775
105	91	770
106	91	765
107	91	759
108	92	755
109	92	750
110	93	745
111	93	739
112	93	734
113	93	729
114	94	723
115	94	719
116	94	714
117	94	710
118	95	705
119	95	700
120	95	695
121	96	691
122	96	686
123	96	683
124	96	678
125	97	674
126	97	669
127	97	665
128	97	661
129	98	657
130	98	653
131	98	649
132	98	645
133	99	641
134	99	638
135	99	634
136	100	630
137	100	627
138	100	623
139	101	621
140	101	617
141	101	614
142	101	610
143	102	607
144	102	604
145	102	601
146	103	598
147	103	596
148	103	593
149	104	589
150	104	585
151	104	583
152	104	580
153	105	578
154	105	575
155	105	572
156	106	569
157	106	566
158	106	563
159	106	560
160	107	557
161	107	555
162	107	552
163	107	549
164	108	547
165	108	544
166	108	542
167	109	540
168	109	537
169	109	535
170	109	533
171	110	530
172	110	527
173	110	525
174	110	522
175	111	520
176	111	518
177	111	516
178	112	514
179	112	511
180	112	509
181	112	507
182	112	504
183	113	501
184	113	499
185	113	497
186	113	495
187	114	493
188	114	491
189	114	489
190	115	487
191	115	486
192	115	484
193	116	482
194	116	481
195	116	479
196	117	477
197	117	475
198	117	474
199	118	472
200	118	469
201	118	467
202	118	466
203	118	464
204	119	462
205	119	460
206	119	458
207	119	456
208	120	455
209	120	453
210	120	452
211	121	450
212	121	448
213	121	447
214	121	445
215	122	443
216	122	442
217	122	441
218	123	439
219	123	437
220	123	436
221	124	434
222	124	433
223	124	431
224	124	429
225	125	428
226	125	427
227	125	425
228	125	424
229	126	422
230	126	421
231	126	420
232	127	418
233	127	417
234	128	416
235	128	415
236	128	413
237	128	412
238	129	410
239	129	409
240	129	408
241	130	407
242	130	405
243	130	404
244	130	403
245	131	402
246	131	400
247	131	399
248	131	398
249	132	396
250	132	395
251	132	393
252	133	392
253	133	391
254	133	390
255	133	389
256	134	388
257	134	386
258	134	385
259	135	384
260	135	383
261	135	382
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	137	374
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	139	368
275	140	367
276	140	367
277	140	365
278	141	365
279	141	364
280	141	363
281	142	362
282	142	361
283	143	360
284	143	359
285	143	358
286	143	357
287	144	356
288	144	355
289	144	354
290	145	353
291	145	352
292	145	351
293	146	350
294	146	349
295	146	349
296	147	348
297	147	347
298	147	346
299	148	345
300	148	345
301	148	344
302	149	343
303	149	342
304	149	341
305	150	340
306	150	340
307	151	339
308	151	338
309	151	338
310	152	337
311	152	336
312	152	335
313	153	335
314	153	334
315	153	333
316	154	332
317	154	331
318	154	330
319	155	329
320	155	328
321	155	328
322	156	327
323	156	326
324	156	326
325	157	325
326	157	324
327	158	323
328	158	323
329	158	322
330	158	321
331	159	320
332	159	319
333	160	319
334	160	318
335	160	317
336	160	316
337	161	315
338	161	314
339	161	314
340	162	313
341	162	312
342	162	311
343	163	311
344	163	310
345	163	309
346	163	308
347	164	307
348	164	306
349	164	306
350	165	305
351	165	304
352	165	303
353	165	302
354	166	301
355	166	300
356	166	299
357	166	299
358	167	298
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	168	293
365	169	292
366	169	292
367	169	291
368	169	290
369	170	289
370	170	288
371	170	287
372	170	287
373	171	286
374	171	285
375	171	284
376	171	283
377	171	282
378	172	282
379	172	281
380	172	280
381	172	279
382	173	278
383	173	278
384	173	277
385	173	276
386	174	275
387	174	275
388	174	274
389	174	273
390	175	272
391	175	271
392	175	271
393	175	270
394	175	269
395	176	268
396	176	267
397	176	267
398	176	266
399	177	265
400	177	264
401	177	264
402	177	263
403	177	262
404	178	261
405	178	261
406	178	260
407	178	259
408	179	258
409	179	258
410	179	257
411	179	256
412	180	255
413	180	255
414	180	254
415	180	253
416	180	253
417	181	252
418	181	251
419	181	251
420	182	250
421	182	249
422	182	248
423	182	248
424	184	249
425	184	248
426	184	248
427	185	247
428	185	246
429	185	246
430	185	245
431	186	244
432	186	243
433	186	243
434	187	243
435	187	242
436	187	241
437	188	242
438	188	241
439	189	240
440	189	240
441	189	239
442	189	238
443	190	237
444	190	237
445	190	236
446	190	235
447	190	235
448	191	234
449	191	234
450	191	233
451	192	232
452	192	232
453	192	231
454	192	230
455	193	230
456	193	229
457	193	228
458	193	228
459	193	227
460	194	226
461	194	226
462	194	225
463	194	224
464	194	224
465	195	223
466	195	223
467	195	222
468	195	221
469	196	221
470	196	220
471	196	219
472	196	219
473	197	218
474	197	218
475	197	217
476	197	216
477	197	216
478	198	215
479	198	214
480	199	214
481	199	214
482	200	214
483	202	216
484	203	216
485	203	215
486	203	214
487	204	214
488	204	213
489	204	213
490	205	212
491	205	212
492	205	211
493	205	210
494	206	210
495	206	209
496	206	209
497	206	208
498	207	207
499	207	207
500	207	206
501	214	212
502	215	212
503	215	212
504	215	211
505	216	211
506	216	210
507	216	209
508	217	209
509	217	208
510	217	208
511	218	207
512	218	207
513	218	206
514	219	206
515	219	205
516	219	205
517	220	205
518	221	204
519	221	204
520	221	203
521	221	203
522	222	202
523	222	202
524	222	201
525	223	201
526	223	200
527	223	199
528	224	199
529	224	198
530	224	198
531	224	197
532	225	197
533	225	196
534	225	196
535	226	195
536	226	195
537	226	194
538	227	194
539	227	193
540	227	193
541	227	192
542	228	192
543	228	191
544	228	190
545	228	190
546	229	189
547	229	189
548	229	188
549	229	188
550	230	187
551	230	187
552	230	186
553	230	185
554	231	185
555	231	184
556	231	184
557	231	183
558	232	183
559	232	182
560	232	182
561	232	181
562	233	181
563	233	180
564	233	180
565	233	179
566	234	178
567	234	178
568	234	177
569	235	177
570	235	176
571	235	176
572	235	175
573	236	175
574	236	174
575	236	174
576	236	173
577	237	173
578	237	172
579	237	172
580	238	171
581	238	171
582	238	170
583	238	170
584	239	169
585	239	169
586	239	168
587	239	168
588	240	167
589	240	167
590	240	166
591	240	166
592	241	165
593	241	164
594	241	164
595	241	163
596	242	163
597	242	162
598	242	162
599	242	161
600	243	161
601	243	160
602	243	160
603	243	159
604	243	159
605	244	158
606	244	158
607	244	157
608	244	157
609	245	156
610	245	156
611	245	155
612	245	155
613	245	154
614	246	154
615	246	153
616	246	153
617	246	152
618	247	152
619	247	151
620	247	151
621	247	150
622	247	150
623	248	149
624	248	149
625	248	148
626	248	148
627	249	147
628	249	147
629	249	146
630	249	146
631	249	145
632	250	145
633	250	144
634	250	144
635	250	143
636	250	143
637	251	142
638	251	142
639	251	141
640	252	141
641	252	140
642	252	140
643	252	139
644	253	139
645	253	138
646	253	138
647	253	137
648	254	137
649	254	136
650	254	136
651	254	135
652	254	135
653	255	135
654	255	134
655	255	134
656	255	133
657	256	133
658	256	132
659	256	132
660	256	131
661	256	131
662	257	130
663	257	130
664	257	129
665	257	129
666	258	128
667	258	128
668	258	127
669	258	127
670	258	126
671	259	126
672	259	126
673	259	125
674	259	125
675	260	124
676	260	124
677	260	123
678	260	123
679	260	122
680	261	122
681	261	121
682	261	121
683	261	120
684	262	120
685	262	120
686	262	119
687	262	119
688	262	118
689	263	118
690	263	117
691	263	117
692	263	116
693	264	116
694	264	115
695	264	115
696	264	115
697	264	114
698	265	114
699	265	113
700	265	113
701	265	112
702	266	112
703	266	111
704	266	111
705	266	111
706	267	110
707	267	110
708	267	109
709	267	109
710	268	108
711	268	108
712	268	108
713	268	107
714	269	107
715	269	106
716	269	106
717	269	105
718	269	105
719	270	105
720	270	104
721	270	104
722	270	103
723	271	103
724	271	102
725	271	102
726	271	102
727	271	101
728	272	101
729	272	100
730	272	100
731	272	99
732	273	99
733	273	99
734	273	98
735	273	98
736	274	97
737	274	97
738	274	96
739	274	96
740	274	96
741	275	95
742	275	95
743	275	94
744	275	94
745	275	93
746	276	93
747	276	93
748	276	92
749	276	92
750	276	91
751	277	91
752	277	90
753	277	90
754	277	90
755	278	89
756	278	89
757	278	88
758	278	88
759	278	88
760	279	87
761	279	87
762	279	86
763	279	86
764	279	85
765	280	85
766	280	85
767	280	84
768	280	84
769	281	83
770	281	83
771	281	83
772	281	82
773	282	82
774	282	81
775	282	81
776	282	81
777	283	80
778	283	80
779	283	79
780	283	79
781	284	79
782	284	78
783	284	78
784	284	78
785	285	77
786	285	77
787	285	76
788	285	76
789	286	76
790	286	75
791	286	75
792	287	74
793	287	74
794	287	74
795	287	73
796	288	73
797	288	72
798	288	72
799	288	72
800	288	71
801	289	71
802	289	70
803	289	70
804	289	70
805	290	69
806	290	69
807	290	69
808	290	68
809	290	68
810	291	67
811	291	67
812	291	67
813	291	66
814	291	66
815	292	65
816	292	65
817	292	65
818	292	64
819	293	64
820	293	63
821	293	63
822	293	63
823	293	62
824	294	62
825	294	62
826	294	61
827	294	61
