iter	Passed	Remaining
0	56	56205
1	56	28316
2	57	19036
3	57	14374
4	58	11550
5	58	9685
6	58	8346
7	59	7350
8	59	6583
9	60	5953
10	60	5441
11	60	5021
12	61	4660
13	61	4351
14	62	4084
15	62	3846
16	62	3637
17	63	3451
18	63	3284
19	63	3133
20	64	2994
21	64	2868
22	64	2755
23	65	2650
24	65	2555
25	65	2467
26	66	2386
27	66	2309
28	66	2239
29	67	2175
30	67	2119
31	68	2064
32	68	2013
33	69	1960
34	69	1912
35	69	1869
36	70	1828
37	70	1785
38	70	1747
39	71	1710
40	71	1677
41	72	1645
42	72	1612
43	72	1581
44	73	1552
45	73	1524
46	73	1497
47	74	1472
48	74	1447
49	74	1423
50	75	1401
51	75	1380
52	76	1360
53	76	1340
54	76	1320
55	77	1303
56	77	1285
57	78	1267
58	78	1250
59	78	1233
60	79	1219
61	79	1204
62	79	1188
63	80	1172
64	80	1158
65	80	1144
66	81	1130
67	81	1117
68	82	1107
69	82	1095
70	82	1083
71	83	1073
72	83	1061
73	83	1050
74	84	1039
75	84	1028
76	84	1018
77	85	1009
78	85	999
79	86	989
80	86	980
81	86	971
82	86	960
83	87	953
84	87	945
85	88	938
86	88	933
87	89	926
88	89	919
89	90	912
90	90	906
91	91	898
92	91	891
93	91	884
94	92	877
95	92	871
96	92	865
97	93	859
98	93	852
99	94	847
100	94	842
101	95	839
102	95	833
103	96	828
104	96	823
105	96	817
106	97	813
107	97	807
108	98	803
109	98	797
110	98	792
111	99	787
112	99	782
113	100	777
114	100	772
115	100	768
116	101	763
117	101	759
118	102	755
119	102	751
120	102	746
121	103	742
122	103	738
123	103	734
124	104	730
125	104	727
126	105	722
127	105	719
128	106	716
129	106	712
130	106	709
131	107	706
132	107	702
133	108	699
134	108	696
135	109	693
136	109	690
137	109	686
138	110	683
139	110	680
140	111	676
141	111	671
142	111	668
143	111	665
144	112	663
145	113	661
146	113	658
147	114	656
148	114	654
149	115	651
150	115	649
151	115	646
152	116	643
153	116	640
154	116	637
155	117	634
156	117	632
157	118	630
158	118	627
159	118	624
160	119	621
161	119	618
162	120	616
163	120	613
164	120	610
165	121	608
166	121	606
167	122	605
168	122	603
169	123	601
170	123	599
171	124	597
172	125	598
173	126	598
174	126	596
175	127	595
176	127	593
177	128	592
178	128	590
179	129	589
180	129	588
181	130	586
182	130	584
183	131	583
184	132	581
185	132	579
186	132	577
187	133	576
188	133	574
189	134	572
190	134	571
191	135	569
192	135	568
193	136	567
194	137	565
195	137	564
196	138	562
197	138	560
198	138	559
199	139	558
200	140	557
201	140	555
202	141	554
203	141	552
204	142	550
205	142	550
206	143	549
207	143	548
208	144	546
209	144	543
210	145	542
211	145	541
212	146	540
213	146	538
214	147	537
215	147	536
216	148	535
217	148	533
218	149	532
219	149	530
220	150	529
221	150	527
222	151	526
223	151	525
224	152	524
225	152	523
226	153	522
227	153	521
228	154	519
229	154	518
230	155	518
231	156	518
232	156	516
233	157	514
234	158	516
235	159	514
236	159	513
237	160	512
238	160	510
239	160	509
240	161	508
241	161	506
242	162	504
243	162	503
244	162	501
245	163	500
246	163	499
247	164	498
248	165	498
249	165	497
250	166	495
251	166	494
252	167	493
253	167	492
254	168	491
255	168	489
256	169	488
257	169	488
258	170	487
259	170	486
260	171	484
261	171	483
262	172	482
263	172	481
264	173	480
265	173	479
266	174	478
267	174	477
268	175	475
269	175	474
270	176	473
271	176	472
272	177	471
273	177	470
274	178	469
275	178	468
276	179	467
277	179	467
278	180	466
279	180	465
280	181	463
281	181	462
282	182	461
283	182	460
284	183	459
285	183	458
286	184	458
287	184	457
288	185	456
289	186	455
290	186	455
291	187	453
292	187	452
293	188	451
294	188	450
295	188	449
296	189	448
297	196	463
298	197	462
299	199	464
300	199	464
301	204	473
302	205	472
303	205	471
304	206	470
305	206	469
306	207	467
307	207	466
308	208	465
309	208	464
310	208	462
311	209	461
312	209	459
313	209	458
314	210	456
315	210	455
316	210	454
317	211	452
318	211	451
319	211	449
320	212	448
321	212	447
322	212	445
323	213	444
324	213	443
325	213	442
326	214	440
327	214	439
328	214	438
329	215	436
330	215	435
331	215	434
332	216	433
333	216	431
334	217	430
335	217	429
336	217	428
337	218	427
338	218	425
339	218	424
340	219	423
341	219	421
342	219	420
343	220	419
344	220	418
345	220	417
346	221	416
347	221	414
348	221	413
349	222	412
350	222	411
351	222	410
352	223	409
353	223	407
354	223	406
355	224	405
356	224	404
357	224	403
358	225	402
359	225	401
360	226	400
361	226	398
362	226	397
363	227	396
364	227	395
365	227	394
366	228	393
367	228	392
368	228	391
369	229	389
370	229	388
371	229	387
372	230	386
373	230	385
374	230	384
375	231	383
376	231	382
377	231	381
378	232	380
379	232	379
380	232	378
381	233	377
382	233	375
383	233	375
384	234	374
385	234	373
386	235	372
387	235	371
388	235	370
389	236	369
390	236	368
391	236	367
392	237	366
393	237	365
394	238	364
395	238	363
396	238	362
397	238	361
398	239	360
399	239	359
400	240	358
401	240	357
402	240	356
403	241	355
404	241	354
405	241	353
406	241	352
407	242	351
408	242	350
409	242	349
410	243	348
411	243	347
412	243	346
413	244	345
414	244	344
415	244	343
416	244	342
417	245	341
418	245	340
419	245	339
420	245	338
421	246	337
422	246	335
423	246	334
424	246	333
425	247	332
426	247	331
427	247	330
428	247	329
429	248	329
430	248	328
431	248	327
432	249	326
433	249	325
434	249	324
435	249	323
436	250	322
437	250	321
438	250	320
439	251	319
440	251	318
441	251	317
442	251	316
443	252	316
444	252	315
445	252	314
446	253	313
447	253	312
448	253	311
449	254	310
450	254	309
451	254	308
452	255	308
453	255	307
454	255	306
455	255	305
456	256	304
457	256	303
458	256	302
459	256	301
460	257	300
461	257	299
462	257	298
463	257	297
464	258	297
465	258	296
466	258	295
467	258	294
468	259	293
469	259	292
470	259	291
471	260	290
472	260	290
473	260	289
474	260	288
475	261	287
476	261	286
477	261	285
478	262	285
479	262	284
480	262	283
481	263	282
482	263	281
483	263	281
484	264	280
485	264	279
486	264	278
487	264	278
488	265	277
489	265	276
490	266	275
491	266	274
492	266	274
493	266	273
494	267	272
495	267	271
496	267	270
497	267	269
498	268	269
499	268	268
500	268	267
501	268	266
502	269	265
503	269	265
504	269	264
505	269	263
506	270	262
507	270	261
508	270	261
509	270	260
510	271	259
511	271	258
512	271	258
513	272	257
514	272	256
515	272	255
516	273	255
517	273	254
518	273	253
519	274	253
520	274	252
521	274	251
522	275	251
523	275	250
524	275	249
525	276	248
526	276	248
527	276	247
528	277	246
529	277	246
530	277	245
531	277	244
532	278	243
533	278	243
534	278	242
535	279	241
536	279	240
537	279	240
538	279	239
539	280	238
540	280	237
541	280	237
542	280	236
543	281	235
544	281	235
545	281	234
546	282	233
547	282	233
548	283	232
549	283	232
550	283	231
551	284	230
552	284	229
553	284	229
554	284	228
555	285	227
556	285	227
557	286	226
558	286	226
559	286	225
560	287	224
561	287	224
562	287	223
563	287	222
564	288	221
565	288	221
566	288	220
567	288	219
568	289	219
569	289	218
570	289	217
571	289	216
572	290	216
573	290	215
574	290	214
575	290	214
576	291	213
577	291	212
578	291	212
579	292	211
580	292	210
581	292	210
582	292	209
583	293	208
584	293	208
585	293	207
586	294	206
587	294	206
588	294	205
589	295	205
590	295	204
591	295	203
592	295	203
593	296	202
594	296	201
595	296	201
596	297	200
597	297	200
598	297	199
599	298	198
600	298	198
601	299	197
602	299	197
603	299	196
604	300	195
605	300	195
606	300	194
607	300	193
608	301	193
609	301	192
610	301	192
611	301	191
612	302	190
613	302	190
614	302	189
615	302	188
616	303	188
617	303	187
618	303	187
619	304	186
620	304	185
621	305	185
622	305	184
623	305	184
